CURP,Nombre,TipoLegislacion,Partido,FechaNacimiento,LugarNacimiento,PrincipioEleccion,Zona,UltimoGradoEstudios,PreparacionAcademica,Legislatura,InicioLegislatura,FinLegislatura
QJA,Aaron Quiroz Jimenez,Diputado Propietario,PRD,16/03/1964, ,Mayoría Relativa, Distrito Federal Distrito: 7 (Gustavo A. Madero) ,Licenciatura,Económico-financiera,LVII,22/08/1997,31/08/2000
PMA,Abelardo Perales Melendez,Diputado Propietario,PAN,11/01/1946, Tamaulipas ,Representación Proporcional, Tamaulipas Circunscripción: Segunda ,Doctorado,Derecho,LVII,22/08/1997,31/08/2000
DlFLA,Abenamar De la Fuente Lazo,Diputado Propietario,PRI,20/01/1939, Tabasco ,Mayoría Relativa, Tabasco Distrito: 2 (Cárdenas) ,Licenciatura,Ingeniería,LVII,22/08/1997,31/08/2000
BEA,Abraham Bagdadi Estrella,Diputado Propietario,PRD,29/03/1963, Campeche ,Representación Proporcional, Campeche Circunscripción: Tercera ,Licenciatura,Ciencias de la salud,LVII,22/08/1997,31/08/2000
BFAA,Adalberto Antonio Balderrama Fernandez,Diputado Propietario,PAN,31/12/1939, Chihuahua ,Mayoría Relativa, Chihuahua Distrito: 2 (Ciudad Juárez) ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
JCAC,Addy Cecilia Joaquin Coldwell,Diputada Propietario,PRI,24/08/1939, Quintana Roo ,Mayoría Relativa, Quintana Roo Distrito: 1 (Cancún) ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
GZA,Adolfo Gonzalez Zamora,Diputado Propietario,PRD,14/07/1948, ,Representación Proporcional, Puebla Circunscripción: Cuarta ,Pasante/Licenciatura trunca,Económico-financiera,LVII,22/08/1997,31/08/2000
AZAM,Adolfo Miguel Aguilar Zinser,Senador Propietario,Ind.,02/12/1949, Distrito Federal ,Representación Proporcional, Distrito Federal ,Licenciatura,Ciencias políticas y sociales,LVII,22/08/1997,31/08/2000
MTA,Adoracion Martinez Torres,Diputada Propietario,PRI,25/09/1936, San Luis Potosí ,Mayoría Relativa, San Luis Potosí Distrito: 3 (Rioverde) ,Preparatoria,,LVII,22/08/1997,31/08/2000
IHAVH,Adrian Victor Hugo Islas Hernandez,Senador Propietario,PRI,08/09/1951, Puebla ,Representación Proporcional, Puebla ,,,LVII,22/08/1997,31/08/2000
HOA,Agapito Hernandez Oaxaca,Diputado Propietario,PRD,20/09/1934, ,Representación Proporcional, Hidalgo Circunscripción: Cuarta ,Técnico,Agropecuaria y zootecnia,LVII,22/08/1997,31/08/2000
AGA,Agustina Acevedo Gutierrez,Diputada Suplente,PRI,01/01/1900, ,Mayoría Relativa, Oaxaca Distrito: 5 (Santo Domingo Tehuantepec) ,,,LVII,22/08/1997,31/08/2000
ARAM,Agustin Miguel Alonso Raya,Diputado Propietario,PRD,28/08/1954, Guanajuato ,Representación Proporcional, Guanajuato Circunscripción: Primera ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
SAA,Agustin Santiago Albores,Diputado Suplente,PRI,01/01/1900, ,Mayoría Relativa, Chiapas Distrito: 6 (Chiapa de Corzo) ,,,LVII,22/08/1997,31/08/2000
AGA,Alberto Anaya Gutierrez,Senador Propietario,PT,15/11/1946, Aguascalientes ,Representación Proporcional, Nuevo León ,Licenciatura,Económico-financiera,LVII,22/08/1997,31/08/2000
CNA,Alberto Cifuentes Negrete,Diputado Propietario,PAN,15/11/1964, Guanajuato ,Mayoría Relativa, Guanajuato Distrito: 3 (León) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
GDA,Alberto Gonzalez Domene,Diputado Propietario,PAN,07/03/1935, Coahuila ,Mayoría Relativa, Coahuila Distrito: 6 (Torreón) ,Pasante/Licenciatura trunca,Otra,LVII,22/08/1997,31/08/2000
