CURP,Nombre,TipoLegislacion,Partido,FechaNacimiento,LugarNacimiento,PrincipioEleccion,Zona,UltimoGradoEstudios,PreparacionAcademica,Legislatura,InicioLegislatura,FinLegislatura
GOA,Absalon Garcia Ochoa,Diputado Propietario,PAN,01/01/1900, ,Mayoría Relativa, Jalisco Distrito: 15 (La Barca) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
PBA,Adela Piña Bernal,Diputada Propietario,Morena,01/01/1900, ,Representación Proporcional, Ciudad de México Circunscripción: Cuarta ,Licenciatura,Ciencias de la educación,LXIV,29/08/2018,31/08/2021
TRA,Adolfo Torres Ramirez,Diputado Propietario,PAN,18/11/1980, Michoacán ,Representación Proporcional, Michoacán Circunscripción: Quinta ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021
DFA,Adriana Davila Fernandez,Diputada Propietario,PAN,30/12/1970, Tlaxcala ,Representación Proporcional, Tlaxcala Circunscripción: Cuarta ,Licenciatura,Comunicación,LXIV,29/08/2018,31/08/2021
MOAG,Adriana Gabriela Medina Ortiz,Diputada Propietario,MC,25/06/1979, Jalisco ,Mayoría Relativa, Jalisco Distrito: 12 (Santa Cruz de las Flores) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
LRA,Adriana Lozano Rodriguez,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Tamaulipas Distrito: 4 (Matamoros) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
EdlMGAMG,Adriana Maria Guadalupe Espinosa de los Monteros Garcia,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Ciudad de México Distrito: 9 (Tláhuac) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
TZAP,Adriana Paulina Teissier Zavala,Diputada Propietario,PES,01/01/1900, ,Mayoría Relativa, Quintana Roo Distrito: 1 (Playa del Carmen) ,,,LXIV,29/08/2018,31/08/2021
GRA,Agustin Garcia Rubio,Diputado Propietario,Morena,01/01/1900, ,Representación Proporcional, Michoacán Circunscripción: Quinta ,Licenciatura,Económico-financiera,LXIV,29/08/2018,31/08/2021
HGAR,Agustin Reynaldo Huerta Gonzalez,Diputado Propietario,Morena,01/01/1900, ,Representación Proporcional, Puebla Circunscripción: Cuarta ,Licenciatura,Ingeniería,LXIV,29/08/2018,31/08/2021
FSAJ,Alan Jesus Falomir Saenz,Diputado Propietario,MC,23/02/1981, Chihuahua ,Mayoría Relativa, Chihuahua Distrito: 8 (Chihuahua) ,Pasante/Licenciatura trunca,Ingeniería,LXIV,29/08/2018,31/08/2021
VVA,Alberto Villa Villegas,Diputado Propietario,Morena,25/10/1972, Distrito Federal ,Representación Proporcional, Jalisco Circunscripción: Primera ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021
ARA,Aleida Alavez Ruiz,Diputada Propietario,Morena,10/01/1974, Distrito Federal ,Mayoría Relativa, Ciudad de México Distrito: 19 (Iztapalapa) ,Licenciatura,Comunicación,LXIV,29/08/2018,31/08/2021
