CURP,Nombre,TipoLegislacion,Partido,FechaNacimiento,LugarNacimiento,PrincipioEleccion,Zona,UltimoGradoEstudios,PreparacionAcademica,Legislatura,InicioLegislatura,FinLegislatura
aaronquirozjimenez,Aarón Quiroz Jiménez,Diputado Propietario,PRD,1964-03-16, ,Mayoría Relativa, Distrito Federal Distrito: 7 (Gustavo A. Madero) ,Licenciatura,Económico-financiera,LVII,1997-08-22,2000-08-31
abelardoperalesmelendez,Abelardo Perales Meléndez,Diputado Propietario,PAN,1946-01-11, Tamaulipas ,Representación Proporcional, Tamaulipas Circunscripción: Segunda ,Doctorado,Derecho,LVII,1997-08-22,2000-08-31
abenamardelafuentelazo,Abenamar De la Fuente Lazo,Diputado Propietario,PRI,1939-01-20, Tabasco ,Mayoría Relativa, Tabasco Distrito: 2 (Cárdenas) ,Licenciatura,Ingeniería,LVII,1997-08-22,2000-08-31
abrahambagdadiestrella,Abraham Bagdadi Estrella,Diputado Propietario,PRD,1963-03-29, Campeche ,Representación Proporcional, Campeche Circunscripción: Tercera ,Licenciatura,Ciencias de la salud,LVII,1997-08-22,2000-08-31
adalbertoantoniobalderramafernandez,Adalberto Antonio Balderrama Fernández,Diputado Propietario,PAN,1939-12-31, Chihuahua ,Mayoría Relativa, Chihuahua Distrito: 2 (Ciudad Juárez) ,Licenciatura,Administración y contaduría,LVII,1997-08-22,2000-08-31
addyceciliajoaquincoldwell,Addy Cecilia Joaquín Coldwell,Diputada Propietario,PRI,1939-08-24, Quintana Roo ,Mayoría Relativa, Quintana Roo Distrito: 1 (Cancún) ,Licenciatura,Administración y contaduría,LVII,1997-08-22,2000-08-31
adolfogonzalezzamora,Adolfo González Zamora,Diputado Propietario,PRD,1948-07-14, ,Representación Proporcional, Puebla Circunscripción: Cuarta ,Pasante/Licenciatura trunca,Económico-financiera,LVII,1997-08-22,2000-08-31
adolfomiguelaguilarzinser,Adolfo Miguel Aguilar Zínser,Senador Propietario,Ind.,1949-12-02, Distrito Federal ,Representación Proporcional, Distrito Federal ,Licenciatura,Ciencias políticas y sociales,LVII,1997-08-22,2000-08-31
adoracionmartineztorres,Adoración Martínez Torres,Diputada Propietario,PRI,1936-09-25, San Luis Potosí ,Mayoría Relativa, San Luis Potosí Distrito: 3 (Rioverde) ,Preparatoria,,LVII,1997-08-22,2000-08-31
adrianvictorhugoislashernandez,Adrián Víctor Hugo Islas Hernández,Senador Propietario,PRI,1951-09-08, Puebla ,Representación Proporcional, Puebla ,,,LVII,1997-08-22,2000-08-31
agapitohernandezoaxaca,Agapito Hernández Oaxaca,Diputado Propietario,PRD,1934-09-20, ,Representación Proporcional, Hidalgo Circunscripción: Cuarta ,Técnico,Agropecuaria y zootecnia,LVII,1997-08-22,2000-08-31
agustinaacevedogutierrez,Agustina Acevedo Gutiérrez,Diputada Suplente,PRI,1900-01-01, ,Mayoría Relativa, Oaxaca Distrito: 5 (Santo Domingo Tehuantepec) ,,,LVII,1997-08-22,2000-08-31
agustinmiguelalonsoraya,Agustín Miguel Alonso Raya,Diputado Propietario,PRD,1954-08-28, Guanajuato ,Representación Proporcional, Guanajuato Circunscripción: Primera ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
agustinsantiagoalbores,Agustín Santiago Albores,Diputado Suplente,PRI,1900-01-01, ,Mayoría Relativa, Chiapas Distrito: 6 (Chiapa de Corzo) ,,,LVII,1997-08-22,2000-08-31
