CURP,Nombre,TipoLegislacion,Partido,FechaNacimiento,LugarNacimiento,PrincipioEleccion,Zona,UltimoGradoEstudios,PreparacionAcademica,Legislatura,InicioLegislatura,FinLegislatura
abelguerragarza,Abel Guerra Garza,Diputado Propietario,PRI,30/07/1954, Tamaulipas ,Mayoría Relativa, Nuevo León Distrito: 3 (General Escobedo) ,Doctorado,Administración y contaduría,LXII,29/08/2012,31/08/2015
abeloctaviosalgadopeña,Abel Octavio Salgado Peña,Diputado Propietario,PRI,04/09/1971, Jalisco ,Mayoría Relativa, Jalisco Distrito: 6 (Zapopan) ,Pasante/Licenciatura trunca,Derecho,LXII,29/08/2012,31/08/2015
abrahammontesalvarado,Abraham Montes Alvarado,Diputado Propietario,PRI,16/03/1961, Chihuahua ,Mayoría Relativa, Chihuahua Distrito: 5 (Delicias) ,Licenciatura,Ingeniería,LXII,29/08/2012,31/08/2015
adolfoorivebellinger,Adolfo Orive Bellinger,Diputado Propietario,PT,13/08/1940, Baja California ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Doctorado,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
adrianafuentestellez,Adriana Fuentes Téllez,Diputada Propietario,PRI,05/03/1964, Chihuahua ,Mayoría Relativa, Chihuahua Distrito: 1 (Ciudad Juárez) ,Licenciatura,Administración y contaduría,LXII,29/08/2012,31/08/2015
adrianagonzalezcarrillo,Adriana González Carrillo,Diputada Propietario,PAN,16/03/1975, México ,Representación Proporcional, México Circunscripción: Quinta ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
agustinbarriosgomezsegues,Agustín Barrios Gómez Segués,Diputado Propietario,PRD,18/03/1971, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 10 (Miguel Hidalgo) ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
agustinmiguelalonsoraya,Agustín Miguel Alonso Raya,Diputado Propietario,PRD,28/08/1954, Guanajuato ,Representación Proporcional, Guanajuato Circunscripción: Segunda ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
albertoanayagutierrez,Alberto Anaya Gutiérrez,Diputado Propietario,PT,15/11/1946, Aguascalientes ,Representación Proporcional, Nuevo León Circunscripción: Segunda ,Doctorado,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
albertocoronadoquintanilla,Alberto Coronado Quintanilla,Diputado Propietario,PAN,03/12/1963, Nuevo León ,Mayoría Relativa, Nuevo León Distrito: 6 (Monterrey) ,Licenciatura,Ingeniería,LXII,29/08/2012,31/08/2015
