,curp,inic_edo,nom_edo,Nombre,UltimoGradoEstudios,TipoLegislacion,tipoEleccion,FechaNacimiento,estado,entidad,Reeleccion,Partido,PreparacionAcademica,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,abelinalopezrodriguez,alr_guerrero,abelinalopezrodriguez_guerrero,Abelina Lopez Rodriguez,Maestría,Diputada Propietario,Mayoria Relativa,1965-09-23,Guerrero,Distrito:4,SI,MORENA,,,,,
1,abrilalcalapadilla,aap_jalisco,abrilalcalapadilla_jalisco,Abril Alcala Padilla,Doctorado,Diputada Propietario,Mayoria Relativa,1979-04-28,Jalisco,Distrito:8,SI,PRD,,,,,
2,absalongarciaochoa,ago_jalisco,absalongarciaochoa_jalisco,Absalon Garcia Ochoa,Licenciatura,Diputado Propietario,Mayoria Relativa,1971-09-23,Jalisco,Distrito:15,SI,PAN,Derecho,,,,
3,adelapiñabernal,apb_ciudad de mexico,adelapinabernal_ciudad de mexico,Adela Piña Bernal,Licenciatura,Diputada Propietario,Representacion proporcional,1964-12-28,Ciudad de Mexico,Circunscripcion:4,SI,MORENA,Ciencias de la educación,,,,
4,adolfotorresramirez,atr_michoacan,adolfotorresramirez_michoacan,Adolfo Torres Ramirez,Licenciatura,Diputado Propietario,Representacion proporcional,1980-11-18,Michoacan,Circunscripcion:5,SI,PAN,Administración y contaduría,,,,05/11/1996
5,adrianaaguilarvazquez,aav_san luis potosi,adrianaaguilarvazquez_san luis potosi,Adriana Aguilar Vazquez,Secundaria,Diputada Propietario,Representacion proporcional,1977-07-20,San Luis Potosi,Circunscripcion:2,NO,PAN,,,,,
6,adrianadavilafernandez,adf_tlaxcala,adrianadavilafernandez_tlaxcala,Adriana Davila Fernandez,Licenciatura,Diputada Propietario,Representacion proporcional,1970-12-30,Tlaxcala,Circunscripcion:4,SI,PAN,Comunicación,,,,
7,adrianagabrielamedinaortiz,agmo_jalisco,adrianagabrielamedinaortiz_jalisco,Adriana Gabriela Medina Ortiz,Licenciatura,Diputada Propietario,Mayoria Relativa,1979-06-25,Jalisco,Distrito:12,NO,MC,Derecho,,,,
8,adrianalozanorodriguez,alr_tamaulipas,adrianalozanorodriguez_tamaulipas,Adriana Lozano Rodriguez,Licenciatura,Diputada Propietario,Mayoria Relativa,1969-06-26,Tamaulipas,Distrito:4,SI,PES,Derecho,,,,
9,adrianamariaguadalupeespinosadelosmonteros,amgedlmg_ciudad de mexico,adrianamariaguadalupeespinosadelosmonterosgarcia_ciudad de mexico,Adriana Maria Guadalupe Espinosa de los Monteros,Licenciatura,Diputada Propietario,Mayoria Relativa,1972-12-11,Ciudad de Mexico,Distrito:9,SI,MORENA,Derecho,,,,
10,adrianapaulinateissierzavala,aptz_quintana roo,adrianapaulinateissierzavala_quintana roo,Adriana Paulina Teissier Zavala,Licenciatura,Diputada Propietario,Mayoria Relativa,1967-07-20,Quintana Roo,Distrito:1,SI,PES,,,,,
11,agustingarciarubio,agr_michoacan,agustingarciarubio_michoacan,Agustin Garcia Rubio,Licenciatura,Diputado Propietario,Representacion proporcional,1973-06-05,Michoacan,Circunscripcion:5,NO,MORENA,Económico-financiera,,,,
